 start_time :2020-01-19 23:29:27 
 batch_size :5 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00030 23.40 k 17.73  | 2.477    37.466    37.601    0.3753    0.6000 | 0.273    97.600    0.986 | 0.309     95.000    0.975 |  9 hr 12 min 
0.00030 23.60 k 17.88  | 2.484    37.601    37.601    0.3760    0.9000 | 0.282    97.500    0.984 | 0.217     100.000    1.000 |  9 hr 17 min 
0.00030 23.80 k 18.04  | 2.498    37.466    37.601    0.3753    0.7000 | 0.261    97.100    0.984 | 0.184     100.000    1.000 |  9 hr 22 min 
0.00030 24.00 k 18.19  | 2.499    37.466    37.601    0.3753    0.7000 | 0.254    97.900    0.987 | 0.360     95.000    0.975 |  9 hr 27 min 
0.00030 24.20 k 18.34  | 2.506    37.466    37.736    0.3756    0.7000 | 0.270    97.500    0.986 | 0.153     100.000    1.000 |  9 hr 31 min 
0.00030 24.40 k 18.49  | 2.510    37.332    37.601    0.3747    0.7000 | 0.246    98.400    0.991 | 0.146     95.000    0.975 |  9 hr 36 min 
0.00030 24.60 k 18.64  | 2.523    37.466    37.601    0.3753    0.6000 | 0.239    97.500    0.986 | 0.217     100.000    1.000 |  9 hr 41 min 
0.00030 24.80 k 18.79  | 2.516    37.466    37.736    0.3756    0.6000 | 0.245    97.600    0.986 | 0.212     100.000    1.000 |  9 hr 46 min 
0.00030 25.00 k 18.94  | 2.525    37.601    37.601    0.3760    0.9000 | 0.237    98.400    0.990 | 0.230     100.000    1.000 |  9 hr 50 min 
0.00030 25.20 k 19.10  | 2.537    37.466    37.601    0.3753    0.6000 | 0.256    97.000    0.983 | 0.233     95.000    0.975 |  9 hr 55 min 
0.00030 25.40 k 19.25  | 2.541    37.601    37.601    0.3760    0.7000 | 0.252    97.800    0.987 | 0.198     100.000    1.000 | 10 hr 00 min 
0.00030 25.60 k 19.40  | 2.541    37.466    37.601    0.3753    0.8000 | 0.254    97.200    0.983 | 0.339     100.000    1.000 | 10 hr 04 min 
0.00030 25.80 k 19.55  | 2.530    37.466    37.601    0.3753    0.6000 | 0.235    97.800    0.987 | 0.186     100.000    1.000 | 10 hr 09 min 
0.00030 26.00 k 19.70  | 2.540    37.332    37.601    0.3747    0.6000 | 0.221    98.600    0.992 | 0.151     100.000    1.000 | 10 hr 14 min 
0.00030 26.20 k 19.85  | 2.536    37.466    37.601    0.3753    0.7000 | 0.250    97.800    0.985 | 0.240     95.000    0.975 | 10 hr 19 min 
0.00030 26.40 k 20.01  | 2.544    37.601    37.601    0.3760    0.8000 | 0.242    97.800    0.986 | 0.373     90.000    0.938 | 10 hr 23 min 
0.00030 26.60 k 20.16  | 2.551    37.466    37.601    0.3753    0.7000 | 0.237    98.100    0.988 | 0.195     100.000    1.000 | 10 hr 28 min 
0.00030 26.80 k 20.31  | 2.566    37.601    37.601    0.3760    0.9000 | 0.229    98.200    0.989 | 0.224     100.000    1.000 | 10 hr 33 min 
0.00030 27.00 k 20.46  | 2.563    37.466    37.601    0.3753    0.8000 | 0.250    97.300    0.984 | 0.179     100.000    1.000 | 10 hr 38 min 
0.00030 27.20 k 20.61  | 2.569    37.601    37.601    0.3760    0.9000 | 0.236    97.900    0.987 | 0.165     100.000    1.000 | 10 hr 42 min 
0.00030 27.40 k 20.76  | 2.576    37.332    37.601    0.3747    0.6000 | 0.248    97.700    0.985 | 0.258     100.000    1.000 | 10 hr 47 min 
0.00030 27.60 k 20.91  | 2.557    37.466    37.601    0.3753    0.8000 | 0.233    97.500    0.985 | 0.323     95.000    0.963 | 10 hr 52 min 
0.00030 27.80 k 21.07  | 2.571    37.601    37.601    0.3760    0.9000 | 0.243    97.300    0.984 | 0.467     90.000    0.942 | 10 hr 56 min 
0.00030 28.00 k 21.22  | 2.571    37.466    37.601    0.3753    0.7000 | 0.263    97.500    0.983 | 0.274     95.000    0.975 | 11 hr 01 min 
0.00030 28.20 k 21.37  | 2.577    37.601    37.601    0.3760    0.9000 | 0.226    98.000    0.989 | 0.167     100.000    1.000 | 11 hr 06 min 
0.00030 28.40 k 21.52  | 2.586    37.466    37.601    0.3753    0.7000 | 0.233    98.200    0.988 | 0.173     95.000    0.975 | 11 hr 11 min 
0.00030 28.60 k 21.67  | 2.581    37.332    37.601    0.3747    0.7000 | 0.226    98.000    0.988 | 0.261     95.000    0.975 | 11 hr 15 min 
0.00030 28.80 k 21.82  | 2.574    37.601    37.736    0.3763    0.9000 | 0.238    98.100    0.989 | 0.245     100.000    1.000 | 11 hr 20 min 
0.00030 29.00 k 21.98  | 2.579    37.466    37.601    0.3753    0.7000 | 0.236    97.200    0.982 | 0.200     95.000    0.975 | 11 hr 25 min 
0.00030 29.20 k 22.13  | 2.591    37.466    37.601    0.3753    0.7000 | 0.219    97.800    0.988 | 0.237     100.000    1.000 | 11 hr 29 min 
0.00030 29.40 k 22.28  | 2.603    37.466    37.601    0.3753    0.8000 | 0.245    97.800    0.986 | 0.154     95.000    0.975 | 11 hr 34 min 
0.00030 29.60 k 22.43  | 2.602    37.466    37.601    0.3753    0.8000 | 0.241    98.300    0.989 | 0.284     100.000    1.000 | 11 hr 39 min 
0.00030 29.80 k 22.58  | 2.605    37.601    37.601    0.3760    0.8000 | 0.229    97.600    0.985 | 0.490     95.000    0.950 | 11 hr 44 min 
0.00030 30.00 k 22.73  | 2.610    37.466    37.601    0.3753    0.6000 | 0.252    96.900    0.980 | 0.516     90.000    0.917 | 11 hr 48 min 
0.00030 30.20 k 22.88  | 2.625    37.466    37.601    0.3753    0.6000 | 0.212    98.700    0.992 | 0.149     100.000    1.000 | 11 hr 53 min 
0.00030 30.40 k 23.04  | 2.609    37.466    37.736    0.3758    0.7000 | 0.236    97.400    0.984 | 0.336     95.000    0.975 | 11 hr 58 min 
0.00030 30.60 k 23.19  | 2.620    37.466    37.601    0.3753    0.9000 | 0.240    97.600    0.986 | 0.267     95.000    0.975 | 12 hr 02 min 
0.00030 30.80 k 23.34  | 2.616    37.466    37.601    0.3753    0.8000 | 0.225    97.500    0.984 | 0.142     100.000    1.000 | 12 hr 07 min 
0.00030 31.00 k 23.49  | 2.621    37.466    37.601    0.3753    0.8000 | 0.230    96.900    0.981 | 0.229     100.000    1.000 | 12 hr 12 min 
0.00030 31.20 k 23.64  | 2.615    37.466    37.601    0.3753    0.8000 | 0.217    97.600    0.986 | 0.260     90.000    0.950 | 12 hr 17 min 
0.00030 31.40 k 23.79  | 2.615    37.601    37.601    0.3760    0.8000 | 0.225    97.900    0.987 | 0.144     100.000    1.000 | 12 hr 21 min 
0.00030 31.60 k 23.95  | 2.623    37.466    37.601    0.3753    0.7000 | 0.216    98.200    0.989 | 0.249     100.000    1.000 | 12 hr 26 min 
0.00030 31.80 k 24.10  | 2.623    37.466    37.601    0.3753    0.7000 | 0.233    97.100    0.983 | 0.475     95.000    0.950 | 12 hr 31 min 
0.00030 32.00 k 24.25  | 2.630    37.466    37.601    0.3753    0.7000 | 0.230    97.400    0.984 | 0.362     90.000    0.917 | 12 hr 36 min 
0.00030 32.20 k 24.40  | 2.635    37.466    37.601    0.3753    0.6000 | 0.220    97.900    0.988 | 0.238     95.000    0.975 | 12 hr 40 min 
0.00030 32.40 k 24.55  | 2.650    37.466    37.601    0.3753    0.7000 | 0.220    98.000    0.987 | 0.338     95.000    0.950 | 12 hr 45 min 
0.00030 32.60 k 24.70  | 2.641    37.466    37.601    0.3753    0.8000 | 0.211    97.100    0.984 | 0.189     95.000    0.975 | 12 hr 50 min 
0.00030 32.80 k 24.86  | 2.647    37.466    37.736    0.3757    0.7000 | 0.218    97.900    0.988 | 0.160     100.000    1.000 | 12 hr 54 min 
0.00030 33.00 k 25.01  | 2.646    37.466    37.601    0.3753    0.7000 | 0.217    98.400    0.989 | 0.382     95.000    0.950 | 12 hr 59 min 
0.00030 33.20 k 25.16  | 2.655    37.466    37.601    0.3753    0.6000 | 0.259    97.200    0.981 | 0.137     100.000    1.000 | 13 hr 04 min 
