 start_time :2020-01-17 13:23:38 
 batch_size :5 
  start from22600, l_rate =0.0003 
freeze=True, batch_size=5, min_num_class=0 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00030 49.80 k 38.97  | 1.413    53.369    84.367    0.6735    0.4000 | 1.409    34.000    0.534 | 1.606     35.000    0.450 |  8 hr 18 min 
0.00030 50.00 k 39.12  | 1.425    53.774    86.119    0.6834    0.4000 | 1.460    33.800    0.490 | 1.595     25.000    0.350 |  8 hr 21 min 
0.00030 50.20 k 39.27  | 1.424    52.695    84.906    0.6753    0.4000 | 1.512    30.100    0.453 | 1.623     30.000    0.408 |  8 hr 25 min 
0.00030 50.40 k 39.43  | 1.427    52.965    85.175    0.6804    0.4000 | 1.529    29.600    0.438 | 1.534     25.000    0.412 |  8 hr 29 min 
0.00030 50.60 k 39.58  | 1.453    50.135    84.771    0.6611    0.4000 | 1.552    30.400    0.425 | 1.565     30.000    0.460 |  8 hr 32 min 
0.00030 50.80 k 39.73  | 1.435    53.504    82.884    0.6650    0.4000 | 1.430    33.900    0.517 | 1.468     30.000    0.467 |  8 hr 36 min 
0.00030 51.00 k 39.88  | 1.435    54.852    81.671    0.6720    0.4000 | 1.472    34.500    0.487 | 1.458     35.000    0.525 |  8 hr 40 min 
0.00030 51.20 k 40.03  | 1.434    56.199    81.806    0.6769    0.4000 | 1.503    31.500    0.454 | 1.629     25.000    0.362 |  8 hr 43 min 
0.00030 51.40 k 40.18  | 1.422    55.391    85.580    0.6919    0.4000 | 1.526    29.600    0.433 | 1.513     25.000    0.410 |  8 hr 47 min 
0.00030 51.60 k 40.34  | 1.410    54.313    88.679    0.6989    0.4000 | 1.544    29.300    0.424 | 1.618     25.000    0.325 |  8 hr 50 min 
0.00030 51.80 k 40.49  | 1.421    54.043    83.019    0.6683    0.4000 | 1.424    32.900    0.510 | 1.350     35.000    0.567 |  8 hr 54 min 
0.00030 52.00 k 40.64  | 1.414    56.334    81.132    0.6737    0.4000 | 1.447    33.000    0.490 | 1.361     30.000    0.571 |  8 hr 58 min 
0.00030 52.20 k 40.79  | 1.410    56.334    82.210    0.6804    0.4000 | 1.496    32.100    0.462 | 1.503     30.000    0.425 |  9 hr 02 min 
0.00030 52.40 k 40.94  | 1.430    55.660    81.536    0.6764    0.4000 | 1.499    31.700    0.451 | 1.295     45.000    0.637 |  9 hr 05 min 
0.00030 52.60 k 41.09  | 1.394    54.178    92.049    0.7184    0.4000 | 1.537    30.600    0.421 | 1.404     45.000    0.542 |  9 hr 09 min 
0.00030 52.80 k 41.24  | 1.410    55.121    85.040    0.6843    0.4000 | 1.399    36.600    0.534 | 1.418     35.000    0.463 |  9 hr 13 min 
0.00030 53.00 k 41.40  | 1.431    55.930    81.267    0.6742    0.4000 | 1.431    35.700    0.519 | 1.422     30.000    0.500 |  9 hr 16 min 
0.00030 53.20 k 41.55  | 1.430    55.660    83.558    0.6841    0.4000 | 1.479    31.900    0.464 | 1.460     30.000    0.442 |  9 hr 20 min 
0.00030 53.40 k 41.70  | 1.441    52.561    82.210    0.6639    0.4000 | 1.507    32.000    0.450 | 1.499     40.000    0.525 |  9 hr 23 min 
0.00030 53.60 k 41.85  | 1.423    50.809    86.523    0.6719    0.4000 | 1.539    29.600    0.431 | 1.425     45.000    0.500 |  9 hr 27 min 
0.00030 53.80 k 42.00  | 1.413    55.930    84.232    0.6843    0.4000 | 1.411    34.300    0.532 | 1.423     40.000    0.575 |  9 hr 31 min 
0.00030 54.00 k 42.15  | 1.428    55.391    82.345    0.6757    0.4000 | 1.426    33.800    0.502 | 1.428     40.000    0.500 |  9 hr 34 min 
0.00030 54.20 k 42.31  | 1.423    55.121    84.501    0.6874    0.4000 | 1.465    33.900    0.483 | 1.520     35.000    0.463 |  9 hr 38 min 
0.00030 54.40 k 42.46  | 1.433    55.795    82.480    0.6806    0.4000 | 1.496    31.700    0.451 | 1.563     30.000    0.392 |  9 hr 42 min 
0.00030 54.60 k 42.61  | 1.420    56.065    87.197    0.7028    0.4000 | 1.506    30.600    0.439 | 1.458     35.000    0.492 |  9 hr 45 min 
0.00030 54.80 k 42.76  | 1.431    56.469    80.728    0.6703    0.4000 | 1.406    36.700    0.527 | 1.453     35.000    0.475 |  9 hr 49 min 
0.00030 55.00 k 42.91  | 1.422    60.512    81.536    0.6974    0.4000 | 1.434    34.200    0.503 | 1.395     25.000    0.479 |  9 hr 53 min 
0.00030 55.20 k 43.06  | 1.417    59.838    83.019    0.6985    0.4000 | 1.477    32.800    0.472 | 1.565     25.000    0.348 |  9 hr 57 min 
0.00030 55.40 k 43.21  | 1.410    58.221    86.253    0.7079    0.4000 | 1.480    32.900    0.469 | 1.546     30.000    0.417 | 10 hr 00 min 
